fips,lon,lat,pop,name
28119,-90.26323,34.267733,6176,Quitman
28121,-90.030487,32.281333,157031,Rankin
28123,-89.529579,32.40164,27990,Scott
28125,-90.862626,32.921684,3800,Sharkey
28127,-89.855744,31.915898,25949,Simpson
28129,-89.504515,31.970107,14209,Smith
28131,-89.135849,30.806397,18333,Stone
28133,-90.584134,33.593307,25971,Sunflower
28135,-90.182077,33.984159,12715,Tallahatchie
28137,-89.948269,34.644191,28064,Tate
28139,-88.924324,34.765765,21815,Tippah
28141,-88.228294,34.730586,18850,Tishomingo
28143,-90.341396,34.720692,9782,Tunica
28145,-89.010519,34.483103,27777,Union
28147,-90.122962,31.150842,13884,Walthall
28149,-90.843777,32.324815,44722,Warren
28151,-91.01078,33.369011,44922,Washington
28153,-88.662531,31.650518,19779,Wayne
28155,-89.220716,33.582804,9926,Webster
28157,-91.245215,31.123212,8587,Wilkinson
28159,-89.042025,33.084971,17714,Winston
28161,-89.694995,34.081548,12481,Yalobusha
28163,-90.38218,32.829241,26743,Yazoo
29001,-92.581512,40.195278,25314,Adair
29003,-94.8166,39.919858,18135,Andrew
29005,-95.436109,40.420914,5305,Atchison
29007,-91.826614,39.203899,24962,Audrain
29009,-93.865725,36.737459,34534,Barry
29011,-94.305362,37.495949,11637,Barton
29013,-94.362779,38.280773,16042,Bates
29015,-93.310017,38.301006,19394,Benton
29017,-89.999696,37.340708,10567,Bollinger
29019,-92.321624,38.956712,183610,Boone
29021,-94.819825,39.750709,84793,Buchanan
29023,-90.417972,36.756985,42130,Butler
29025,-93.998899,39.663863,8815,Caldwell
29027,-91.997518,38.797548,44283,Callaway
29029,-92.746042,38.073064,42745,Camden
29031,-89.607695,37.355235,81710,Cape Girardeau
29033,-93.496539,39.408302,8495,Carroll
29035,-90.885719,36.947475,5202,Carter
29037,-94.424307,38.751052,107824,Cass
29039,-93.895266,37.765491,14188,Cedar
29041,-92.931479,39.486142,7408,Chariton
29043,-93.264355,37.027878,88842,Christian
29045,-91.708614,40.412112,6634,Clark
29047,-94.497328,39.252956,253335,Clay
29049,-94.367454,39.602433,21184,Clinton
29051,-92.220619,38.55255,77279,Cole
29053,-92.772757,38.91006,17103,Cooper
29055,-91.321648,38.061879,23056,Crawford
29057,-93.824927,37.415382,7569,Dade
29059,-93.066641,37.643751,17071,Dallas
29061,-93.980672,39.938229,8430,Daviess
29063,-94.354573,39.825582,11029,DeKalb
29065,-91.545105,37.631372,14421,Dent
29067,-92.603414,36.940662,11578,Douglas
29069,-90.058119,36.324914,28283,Dunklin
29071,-90.998977,38.436356,104682,Franklin
