fips,county,year,month,fatal_crashes,total_fatalities,alcohol_fatal_crashes,weekend_crashes,night_crashes,crashes_sun,crashes_mon,crashes_tue,crashes_wed,crashes_thu,crashes_fri,crashes_sat,alcohol_flag_source,countywide_wet,cohort,treated_unit,neighbor_unit,clean_control,n_wet_neighbors,share_wet_neighbors,n_neighbors,total_pop,median_hh_income,median_age,poverty_rate,pct_white,pct_black,pct_under_18,pct_21plus,pop_21plus,fatal_crashes_pc,alcohol_crashes_pc,church_establishments,church_employees
5013,Calhoun,2012,3,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5373.0,31425.0,42.4,0.105,0.7393,0.2433,0.2045,0.7955,4274.0,0.0,0.0,7,13
5013,Calhoun,2012,4,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5373.0,31425.0,42.4,0.105,0.7393,0.2433,0.2045,0.7955,4274.0,0.0,0.0,7,13
5013,Calhoun,2012,5,1,1,0,1,0,1,0,0,0,0,0,0,DRUNK_DR,1,0,0,1,0,4,0.8,5,5373.0,31425.0,42.4,0.105,0.7393,0.2433,0.2045,0.7955,4274.0,223.3389,0.0,7,13
5013,Calhoun,2012,6,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5373.0,31425.0,42.4,0.105,0.7393,0.2433,0.2045,0.7955,4274.0,0.0,0.0,7,13
5013,Calhoun,2012,7,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5373.0,31425.0,42.4,0.105,0.7393,0.2433,0.2045,0.7955,4274.0,0.0,0.0,7,13
5013,Calhoun,2012,8,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5373.0,31425.0,42.4,0.105,0.7393,0.2433,0.2045,0.7955,4274.0,0.0,0.0,7,13
5013,Calhoun,2012,9,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5373.0,31425.0,42.4,0.105,0.7393,0.2433,0.2045,0.7955,4274.0,0.0,0.0,7,13
5013,Calhoun,2012,10,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5373.0,31425.0,42.4,0.105,0.7393,0.2433,0.2045,0.7955,4274.0,0.0,0.0,7,13
5013,Calhoun,2012,11,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5373.0,31425.0,42.4,0.105,0.7393,0.2433,0.2045,0.7955,4274.0,0.0,0.0,7,13
5013,Calhoun,2012,12,2,2,1,0,1,0,0,0,0,2,0,0,DRUNK_DR,1,0,0,1,0,4,0.8,5,5373.0,31425.0,42.4,0.105,0.7393,0.2433,0.2045,0.7955,4274.0,446.6778,223.3389,7,13
5013,Calhoun,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5319.0,30980.0,42.7,0.1491,0.74,0.2527,0.1923,0.8077,4296.0,0.0,0.0,7,0
5013,Calhoun,2013,2,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5319.0,30980.0,42.7,0.1491,0.74,0.2527,0.1923,0.8077,4296.0,0.0,0.0,7,0
5013,Calhoun,2013,3,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5319.0,30980.0,42.7,0.1491,0.74,0.2527,0.1923,0.8077,4296.0,0.0,0.0,7,0
5013,Calhoun,2013,4,1,1,1,1,0,0,0,0,0,0,0,1,DRUNK_DR,1,0,0,1,0,4,0.8,5,5319.0,30980.0,42.7,0.1491,0.74,0.2527,0.1923,0.8077,4296.0,225.6063,225.6063,7,0
5013,Calhoun,2013,5,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5319.0,30980.0,42.7,0.1491,0.74,0.2527,0.1923,0.8077,4296.0,0.0,0.0,7,0
5013,Calhoun,2013,6,1,2,0,0,0,0,0,0,1,0,0,0,DRUNK_DR,1,0,0,1,0,4,0.8,5,5319.0,30980.0,42.7,0.1491,0.74,0.2527,0.1923,0.8077,4296.0,225.6063,0.0,7,0
5013,Calhoun,2013,7,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5319.0,30980.0,42.7,0.1491,0.74,0.2527,0.1923,0.8077,4296.0,0.0,0.0,7,0
5013,Calhoun,2013,8,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5319.0,30980.0,42.7,0.1491,0.74,0.2527,0.1923,0.8077,4296.0,0.0,0.0,7,0
5013,Calhoun,2013,9,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5319.0,30980.0,42.7,0.1491,0.74,0.2527,0.1923,0.8077,4296.0,0.0,0.0,7,0
5013,Calhoun,2013,10,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5319.0,30980.0,42.7,0.1491,0.74,0.2527,0.1923,0.8077,4296.0,0.0,0.0,7,0
5013,Calhoun,2013,11,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5319.0,30980.0,42.7,0.1491,0.74,0.2527,0.1923,0.8077,4296.0,0.0,0.0,7,0
5013,Calhoun,2013,12,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5319.0,30980.0,42.7,0.1491,0.74,0.2527,0.1923,0.8077,4296.0,0.0,0.0,7,0
