fips,county_name,acs_vintage,total_pop,median_hh_income,median_age,poverty_universe,poverty_below,poverty_rate,race_total,race_white,race_black,pct_white,pct_black,pop_under_18,pct_under_18,pop_21plus,pct_21plus
5103,"Ouachita County, Arkansas",2009,26016.0,30167.0,42.0,25418.0,5156.0,0.2028,26016.0,15113.0,10359.0,0.5809,0.3982,6228.0,0.2394,19788.0,0.7606
5105,"Perry County, Arkansas",2009,10294.0,44921.0,40.7,10279.0,1466.0,0.1426,10294.0,9711.0,256.0,0.9434,0.0249,2425.0,0.2356,7869.0,0.7644
5107,"Phillips County, Arkansas",2009,22002.0,26336.0,34.8,21663.0,7498.0,0.3461,22002.0,8179.0,13611.0,0.3717,0.6186,6642.0,0.3019,15360.0,0.6981
5109,"Pike County, Arkansas",2009,10763.0,33024.0,39.7,10686.0,1915.0,0.1792,10763.0,9606.0,417.0,0.8925,0.0387,2528.0,0.2349,8235.0,0.7651
5111,"Poinsett County, Arkansas",2009,24865.0,31894.0,38.2,24422.0,6006.0,0.2459,24865.0,22490.0,1826.0,0.9045,0.0734,6337.0,0.2549,18528.0,0.7451
5113,"Polk County, Arkansas",2009,20140.0,33274.0,42.5,19674.0,3759.0,0.1911,20140.0,18815.0,30.0,0.9342,0.0015,4852.0,0.2409,15288.0,0.7591
5115,"Pope County, Arkansas",2009,58963.0,38511.0,35.4,57642.0,10323.0,0.1791,58963.0,54220.0,1992.0,0.9196,0.0338,13997.0,0.2374,44966.0,0.7626
5117,"Prairie County, Arkansas",2009,8776.0,32176.0,43.1,8556.0,1591.0,0.186,8776.0,7307.0,1360.0,0.8326,0.155,1831.0,0.2086,6945.0,0.7914
5119,"Pulaski County, Arkansas",2009,375518.0,44370.0,35.5,368911.0,56807.0,0.154,375518.0,227481.0,127007.0,0.6058,0.3382,93720.0,0.2496,281798.0,0.7504
5121,"Randolph County, Arkansas",2009,18058.0,28427.0,41.0,17716.0,3379.0,0.1907,18058.0,17439.0,184.0,0.9657,0.0102,4275.0,0.2367,13783.0,0.7633
5123,"St. Francis County, Arkansas",2009,26769.0,27016.0,36.0,22961.0,7052.0,0.3071,26769.0,12495.0,13538.0,0.4668,0.5057,7117.0,0.2659,19652.0,0.7341
5125,"Saline County, Arkansas",2009,95000.0,51082.0,38.1,93542.0,9701.0,0.1037,95000.0,87594.0,3923.0,0.922,0.0413,22805.0,0.2401,72195.0,0.7599
5127,"Scott County, Arkansas",2009,11170.0,33969.0,40.1,10879.0,2853.0,0.2622,11170.0,10313.0,0.0,0.9233,0.0,2816.0,0.2521,8354.0,0.7479
5129,"Searcy County, Arkansas",2009,8002.0,27071.0,45.6,7797.0,1509.0,0.1935,8002.0,7708.0,0.0,0.9633,0.0,1673.0,0.2091,6329.0,0.7909
5131,"Sebastian County, Arkansas",2009,121325.0,39131.0,36.2,119406.0,20334.0,0.1703,121325.0,99571.0,7272.0,0.8207,0.0599,31675.0,0.2611,89650.0,0.7389
5133,"Sevier County, Arkansas",2009,16516.0,34090.0,33.9,16284.0,3193.0,0.1961,16516.0,11649.0,619.0,0.7053,0.0375,4888.0,0.296,11628.0,0.704
5135,"Sharp County, Arkansas",2009,17689.0,29589.0,45.7,17225.0,3535.0,0.2052,17689.0,17037.0,104.0,0.9631,0.0059,3736.0,0.2112,13953.0,0.7888
5137,"Stone County, Arkansas",2009,11920.0,27167.0,46.6,11781.0,2930.0,0.2487,11920.0,11709.0,0.0,0.9823,0.0,2482.0,0.2082,9438.0,0.7918
5139,"Union County, Arkansas",2009,43157.0,35732.0,39.8,42226.0,8714.0,0.2064,43157.0,27677.0,14232.0,0.6413,0.3298,10678.0,0.2474,32479.0,0.7526
