fips,year,dist_popcen_instate,dist_popcen_aug,dist_border_instate,dist_border_aug,nearest_wet_fips_aug,nearest_wet_is_oos,n_wet_neighbors_instate_chk,n_oos_wet_neighbors,n_wet_neighbors_aug,any_wet_neighbor_aug,share_wet_neighbors_aug
05015,2013,23.901,23.901,6.822,6.822,05087,0,3,3,6,1,0.8571
05015,2014,23.901,23.901,6.822,6.822,05087,0,3,3,6,1,0.8571
05015,2015,23.901,23.901,6.822,6.822,05087,0,3,3,6,1,0.8571
05015,2016,23.901,23.901,6.822,6.822,05087,0,3,3,6,1,0.8571
05015,2017,23.901,23.901,6.822,6.822,05087,0,3,3,6,1,0.8571
05015,2018,23.901,23.901,6.822,6.822,05087,0,3,3,6,1,0.8571
05015,2019,23.901,23.901,6.822,6.822,05087,0,3,3,6,1,0.8571
05015,2020,23.901,23.901,6.822,6.822,05087,0,3,3,6,1,0.8571
05015,2021,23.901,23.901,6.822,6.822,05087,0,3,3,6,1,0.8571
05015,2022,23.901,23.901,6.822,6.822,05087,0,3,3,6,1,0.8571
05015,2023,23.901,23.901,6.822,6.822,05087,0,3,3,6,1,0.8571
05017,2008,31.05,18.0,9.128,9.128,05043,0,2,4,6,1,0.6667
05017,2009,31.05,18.0,9.128,9.128,05043,0,2,4,6,1,0.6667
05017,2010,31.05,18.0,9.128,9.128,05043,0,2,4,6,1,0.6667
05017,2011,31.05,18.0,9.128,9.128,05043,0,2,4,6,1,0.6667
05017,2012,31.05,18.0,9.128,9.128,05043,0,2,4,6,1,0.6667
05017,2013,31.05,18.0,9.128,9.128,05043,0,2,4,6,1,0.6667
05017,2014,31.05,18.0,9.128,9.128,05043,0,2,4,6,1,0.6667
05017,2015,31.05,18.0,9.128,9.128,05043,0,2,4,6,1,0.6667
05017,2016,31.05,18.0,9.128,9.128,05043,0,2,4,6,1,0.6667
05017,2017,31.05,18.0,9.128,9.128,05043,0,2,4,6,1,0.6667
05017,2018,31.05,18.0,9.128,9.128,05043,0,2,4,6,1,0.6667
05017,2019,31.05,18.0,9.128,9.128,05043,0,2,4,6,1,0.6667
05017,2020,31.05,18.0,9.128,9.128,05043,0,2,4,6,1,0.6667
05017,2021,31.05,18.0,9.128,9.128,05043,0,2,4,6,1,0.6667
05017,2022,31.05,18.0,9.128,9.128,05043,0,2,4,6,1,0.6667
05017,2023,31.05,18.0,9.128,9.128,05043,0,2,4,6,1,0.6667
05019,2008,28.191,28.191,12.683,12.683,05039,0,2,0,2,1,0.3333
05019,2009,28.191,28.191,12.683,12.683,05039,0,2,0,2,1,0.3333
05019,2010,28.191,28.191,12.683,12.683,05039,0,2,0,2,1,0.3333
05019,2011,28.191,28.191,12.683,12.683,05039,0,2,0,2,1,0.3333
05019,2012,28.191,28.191,12.683,12.683,05039,0,2,0,2,1,0.3333
05019,2013,28.191,28.191,12.683,12.683,05039,0,2,0,2,1,0.3333
