term,coef,se
t_2009_2010,-1.75,.414578098794425
t_2010_2011,2,1.541103500742244
t_2011_2012,-1.25,1.634587103827753
t_2012_2013,-4.75,.960143218483576
t_2013_2014,5,.7071067811865476
t_2014_2015,-2.25,1.634587103827753
t_2015_2016,0,1.767766952966369
t_2016_2017,5.75,1.634587103827753
t_2017_2018,1.25,.2165063509461096
t_2017_2019,-3.75,1.340475661845451
t_2017_2020,-3,2.121320343559642
t_2017_2021,-1,.7071067811865476
t_2017_2022,0,0
t_2017_2023,0,0
t_2008_2009,1.5,.7905694150420949
t_2009_2010,.5,.7905694150420949
t_2010_2011,5,1.802775637731995
t_2011_2012,-5.5,1.767766952966369
t_2012_2013,.5,1.903943276465977
t_2013_2014,-2,1
t_2014_2015,-3.5,2.761340254296815
t_2015_2016,5,2.5
t_2016_2017,.5,3.259601202601325
t_2017_2018,.5,.3535533905932738
t_2018_2019,1,2.5
t_2019_2020,3.5,1.767766952966369
t_2019_2021,-2.5,3.181980515339464
t_2019_2022,0,0
t_2019_2023,0,0
t_2008_2009,0,0
t_2009_2010,0,0
t_2010_2011,0,0
t_2011_2012,0,0
t_2012_2013,0,0
t_2013_2014,0,0
t_2014_2015,0,0
t_2015_2016,0,0
t_2016_2017,0,0
t_2017_2018,0,0
t_2018_2019,0,0
t_2019_2020,0,0
t_2020_2021,0,0
t_2021_2022,0,0
t_2021_2023,0,0
w2010_2009,.013986013986014,.0090971137844483
w2010_2010,.013986013986014,.0090971137844483
w2010_2011,.013986013986014,.0090971137844483
w2010_2012,.013986013986014,.0090971137844483
w2010_2013,.013986013986014,.0090971137844483
w2010_2014,.013986013986014,.0090971137844483
w2010_2015,.013986013986014,.0090971137844483
w2010_2016,.013986013986014,.0090971137844483
w2010_2017,.013986013986014,.0090971137844483
w2010_2018,.013986013986014,.0090971137844483
w2010_2019,.013986013986014,.0090971137844483
w2010_2020,.013986013986014,.0090971137844483
w2010_2021,.013986013986014,.0090971137844483
w2010_2022,0,0
w2010_2023,0,0
w2012_2009,.020979020979021,.0106231402141645
w2012_2010,.020979020979021,.0106231402141645
w2012_2011,.020979020979021,.0106231402141645
w2012_2012,.020979020979021,.0106231402141645
w2012_2013,.020979020979021,.0106231402141645
w2012_2014,.020979020979021,.0106231402141645
w2012_2015,.020979020979021,.0106231402141645
