term,coef,se
t_2014_2015,.7500000000000001,.414578098794425
t_2015_2016,1.5,.9013878188659973
t_2016_2017,-1.25,.739509972887452
t_2017_2018,-1,.6123724356957945
t_2017_2019,-1.5,.8291561975888501
t_2017_2020,0,0
t_2017_2021,1.5,.3535533905932738
t_2017_2022,0,0
t_2017_2023,0,0
t_2008_2009,2.5,1.060660171779821
t_2009_2010,.5,.7905694150420949
t_2010_2011,.5,.3535533905932738
t_2011_2012,0,.5
t_2012_2013,-1.5,.3535533905932738
t_2013_2014,-1,1.414213562373095
t_2014_2015,-.5,.7905694150420949
t_2015_2016,3,1
t_2016_2017,-2.5,.7905694150420949
t_2017_2018,1,1.118033988749895
t_2018_2019,0,1.118033988749895
t_2019_2020,1,1.414213562373095
t_2019_2021,1,1.5
t_2019_2022,0,0
t_2019_2023,0,0
t_2008_2009,0,0
t_2009_2010,0,0
t_2010_2011,0,0
t_2011_2012,0,0
t_2012_2013,0,0
t_2013_2014,0,0
t_2014_2015,0,0
t_2015_2016,0,0
t_2016_2017,0,0
t_2017_2018,0,0
t_2018_2019,0,0
t_2019_2020,0,0
t_2020_2021,0,0
t_2021_2022,0,0
t_2021_2023,0,0
w2010_2009,.013986013986014,.0090971137844483
w2010_2010,.013986013986014,.0090971137844483
w2010_2011,.013986013986014,.0090971137844483
w2010_2012,.013986013986014,.0090971137844483
w2010_2013,.013986013986014,.0090971137844483
w2010_2014,.013986013986014,.0090971137844483
w2010_2015,.013986013986014,.0090971137844483
w2010_2016,.013986013986014,.0090971137844483
w2010_2017,.013986013986014,.0090971137844483
w2010_2018,.013986013986014,.0090971137844483
w2010_2019,.013986013986014,.0090971137844483
w2010_2020,.013986013986014,.0090971137844483
w2010_2021,.013986013986014,.0090971137844483
w2010_2022,0,0
w2010_2023,0,0
w2012_2009,.020979020979021,.0106231402141645
w2012_2010,.020979020979021,.0106231402141645
w2012_2011,.020979020979021,.0106231402141645
w2012_2012,.020979020979021,.0106231402141645
w2012_2013,.020979020979021,.0106231402141645
w2012_2014,.020979020979021,.0106231402141645
w2012_2015,.020979020979021,.0106231402141645
w2012_2016,.020979020979021,.0106231402141645
w2012_2017,.020979020979021,.0106231402141645
w2012_2018,.020979020979021,.0106231402141645
w2012_2019,.020979020979021,.0106231402141645
w2012_2020,.020979020979021,.0106231402141645
w2012_2021,.020979020979021,.0106231402141645
w2012_2022,0,0
w2012_2023,0,0
w2014_2009,.013986013986014,.0090971137844483
w2014_2010,.013986013986014,.0090971137844483
w2014_2011,.013986013986014,.0090971137844483
w2014_2012,.013986013986014,.0090971137844483
w2014_2013,.013986013986014,.0090971137844483
w2014_2014,.013986013986014,.0090971137844483
w2014_2015,.013986013986014,.0090971137844483
w2014_2016,.013986013986014,.0090971137844483
w2014_2017,.013986013986014,.0090971137844483
w2014_2018,.013986013986014,.0090971137844483
w2014_2019,.013986013986014,.0090971137844483
w2014_2020,.013986013986014,.0090971137844483
w2014_2021,.013986013986014,.0090971137844483
w2014_2022,0,0
w2014_2023,0,0
w2016_2009,.006993006993007,.0067186637960163
w2016_2010,.006993006993007,.0067186637960163
w2016_2011,.006993006993007,.0067186637960163
w2016_2012,.006993006993007,.0067186637960163
w2016_2013,.006993006993007,.0067186637960163
w2016_2014,.006993006993007,.0067186637960163
w2016_2015,.006993006993007,.0067186637960163
w2016_2016,.006993006993007,.0067186637960163
w2016_2017,.006993006993007,.0067186637960163
w2016_2018,.006993006993007,.0067186637960163
w2016_2019,.006993006993007,.0067186637960163
w2016_2020,.006993006993007,.0067186637960163
w2016_2021,.006993006993007,.0067186637960163
w2016_2022,0,0
