fips,county,year,month,fatal_crashes,total_fatalities,alcohol_fatal_crashes,weekend_crashes,night_crashes,crashes_sun,crashes_mon,crashes_tue,crashes_wed,crashes_thu,crashes_fri,crashes_sat,alcohol_flag_source
5001,Arkansas,2016,8,2,2,1,1,1,0,1,0,0,0,0,1,DRUNK_DR
5001,Arkansas,2016,9,1,1,0,0,0,0,0,0,0,0,1,0,DRUNK_DR
5001,Arkansas,2016,10,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2016,11,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2016,12,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2017,1,1,1,0,0,0,0,0,0,0,0,1,0,DRUNK_DR
5001,Arkansas,2017,2,1,1,0,0,0,0,0,0,1,0,0,0,DRUNK_DR
5001,Arkansas,2017,3,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2017,4,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2017,5,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2017,6,1,1,1,0,1,0,1,0,0,0,0,0,DRUNK_DR
5001,Arkansas,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2017,8,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2017,9,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2017,10,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2017,11,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2017,12,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2018,2,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2018,3,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2018,4,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2018,5,1,1,0,0,0,0,0,0,1,0,0,0,DRUNK_DR
5001,Arkansas,2018,6,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2018,7,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2018,8,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2018,9,1,1,0,1,0,0,0,0,0,0,0,1,DRUNK_DR
5001,Arkansas,2018,10,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2018,11,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2018,12,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2019,1,1,1,0,1,1,0,0,0,0,0,0,1,DRUNK_DR
5001,Arkansas,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2019,3,1,1,1,1,1,0,0,0,0,0,0,1,DRUNK_DR
5001,Arkansas,2019,4,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2019,5,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2019,6,1,1,0,1,0,0,0,0,0,0,0,1,DRUNK_DR
5001,Arkansas,2019,7,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2019,8,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2019,9,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2019,10,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2019,11,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2019,12,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2020,1,2,2,1,2,1,1,0,0,0,0,0,1,DRUNK_DR
5001,Arkansas,2020,2,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2020,4,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2020,5,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2020,6,1,1,0,1,1,0,0,0,0,0,0,1,DRUNK_DR
5001,Arkansas,2020,7,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2020,8,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2020,9,1,1,0,0,0,0,0,0,0,0,1,0,DRUNK_DR
5001,Arkansas,2020,10,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2020,11,1,1,1,0,1,0,0,1,0,0,0,0,DRUNK_DR
