fips,year,church_establishments,church_employees
5051,2022,84,507
5051,2023,83,518
5053,2008,15,48
5053,2009,15,48
5053,2010,15,48
5053,2011,14,43
5053,2012,16,59
5053,2013,18,67
5053,2014,17,74
5053,2015,17,65
5053,2016,17,61
5053,2017,18,68
5053,2018,16,69
5053,2019,17,68
5053,2020,17,70
5053,2021,19,69
5053,2022,21,80
5053,2023,20,64
5055,2008,39,166
5055,2009,39,166
5055,2010,39,166
5055,2011,38,170
5055,2012,38,152
5055,2013,37,149
5055,2014,37,146
5055,2015,38,157
5055,2016,39,149
5055,2017,43,165
5055,2018,42,156
5055,2019,39,158
5055,2020,40,173
5055,2021,38,147
5055,2022,40,145
5055,2023,41,154
5057,2008,17,83
5057,2009,17,83
5057,2010,17,83
5057,2011,18,0
5057,2012,19,0
5057,2013,18,0
5057,2014,19,112
5057,2015,22,107
5057,2016,22,113
5057,2017,23,126
5057,2018,22,121
5057,2019,22,117
5057,2020,21,112
5057,2021,20,109
5057,2022,17,103
5057,2023,19,110
5059,2008,28,136
5059,2009,28,136
5059,2010,28,136
5059,2011,25,103
5059,2012,26,106
5059,2013,29,142
5059,2014,30,116
5059,2015,30,113
5059,2016,31,123
5059,2017,29,110
5059,2018,32,141
5059,2019,33,135
5059,2020,34,122
5059,2021,33,113
5059,2022,33,121
5059,2023,32,124
5061,2008,14,48
5061,2009,14,48
5061,2010,14,48
5061,2011,16,54
5061,2012,15,44
5061,2013,15,45
5061,2014,15,52
5061,2015,18,51
5061,2016,18,54
5061,2017,18,44
5061,2018,17,48
5061,2019,16,43
5061,2020,15,49
5061,2021,12,30
5061,2022,15,37
5061,2023,16,51
5063,2008,37,232
5063,2009,37,232
5063,2010,37,232
5063,2011,34,244
5063,2012,34,226
5063,2013,36,210
5063,2014,36,213
5063,2015,36,203
5063,2016,37,207
5063,2017,39,237
5063,2018,38,222
5063,2019,38,220
5063,2020,38,232
5063,2021,39,208
5063,2022,40,220
5063,2023,41,230
5065,2008,16,43
5065,2009,16,43
5065,2010,16,43
5065,2011,16,0
5065,2012,15,34
5065,2013,17,35
5065,2014,18,32
5065,2015,18,38
5065,2016,15,32
5065,2017,15,30
5065,2018,15,24
5065,2019,16,26
5065,2020,16,23
5065,2021,14,24
5065,2022,14,25
5065,2023,14,22
5067,2008,16,0
5067,2009,16,0
5067,2010,16,0
5067,2011,12,0
5067,2012,14,53
5067,2013,15,54
5067,2014,16,61
5067,2015,16,49
5067,2016,17,58
5067,2017,18,67
5067,2018,18,66
5067,2019,19,58
5067,2020,20,65
5067,2021,19,68
5067,2022,16,63
5067,2023,16,51
5069,2008,84,485
5069,2009,84,485
5069,2010,84,485
5069,2011,74,460
5069,2012,78,466
5069,2013,76,408
5069,2014,74,373
5069,2015,82,355
5069,2016,80,337
5069,2017,85,368
5069,2018,78,371
5069,2019,76,359
5069,2020,76,350
5069,2021,78,357
5069,2022,79,341
5069,2023,79,314
5071,2008,17,0
5071,2009,17,0
5071,2010,17,0
5071,2011,18,0
5071,2012,16,88
5071,2013,16,85
5071,2014,16,90
5071,2015,18,93
5071,2016,19,109
5071,2017,19,89
5071,2018,18,75
5071,2019,17,81
5071,2020,18,66
5071,2021,17,68
5071,2022,18,74
5071,2023,17,66
5073,2008,6,20
5073,2009,6,20
5073,2010,6,20
5073,2011,6,29
5073,2012,6,26
5073,2013,7,24
5073,2014,7,21
5073,2015,6,19
5073,2016,6,14
5073,2017,7,14
5073,2018,5,15
5073,2019,5,17
5073,2020,4,14
5073,2021,4,14
5073,2022,4,11
5073,2023,3,13
5075,2008,17,50
5075,2009,17,50
5075,2010,17,50
5075,2011,17,55
5075,2012,16,57
5075,2013,15,58
5075,2014,15,57
5075,2015,16,52
5075,2016,16,55
5075,2017,16,47
5075,2018,15,52
5075,2019,16,52
5075,2020,14,53
5075,2021,13,45
5075,2022,15,39
5075,2023,13,52
5077,2008,13,0
5077,2009,13,0
5077,2010,13,0
5077,2011,12,29
5077,2012,11,0
5077,2013,11,27
5077,2014,11,24
5077,2015,11,24
5077,2016,11,26
5077,2017,11,24
5077,2018,10,36
5077,2019,10,23
5077,2020,8,17
5077,2021,7,20
5077,2022,8,14
5077,2023,10,20
5079,2008,7,0
5079,2009,7,0
5079,2010,7,0
5079,2011,6,30
5079,2012,6,27
5079,2013,8,30
5079,2014,10,31
5079,2015,10,29
5079,2016,9,32
5079,2017,11,32
5079,2018,9,31
5079,2019,7,30
5079,2020,6,27
5079,2021,5,19
5079,2022,6,23
5079,2023,5,22
5081,2008,11,39
5081,2009,11,39
5081,2010,11,39
5081,2011,10,0
5081,2012,11,34
5081,2013,11,32
5081,2014,10,0
5081,2015,11,36
5081,2016,13,47
5081,2017,13,41
5081,2018,14,47
5081,2019,14,43
5081,2020,12,39
5081,2021,13,41
5081,2022,13,45
5081,2023,14,51
5083,2008,21,0
5083,2009,21,0
5083,2010,21,0
5083,2011,21,129
5083,2012,23,148
5083,2013,23,151
5083,2014,22,154
5083,2015,21,160
5083,2016,22,154
5083,2017,25,168
5083,2018,25,155
5083,2019,26,160
5083,2020,24,148
5083,2021,26,151
5083,2022,21,135
5083,2023,23,149
5085,2008,39,309
5085,2009,39,309
5085,2010,39,309
5085,2011,40,323
5085,2012,39,337
5085,2013,39,409
5085,2014,41,359
5085,2015,43,385
5085,2016,49,373
5085,2017,47,380
5085,2018,45,366
5085,2019,45,371
5085,2020,47,353
5085,2021,45,265
5085,2022,43,267
5085,2023,45,284
5087,2008,7,0
5087,2009,7,0
5087,2010,7,0
5087,2011,7,0
5087,2012,7,16
5087,2013,8,0
5087,2014,9,0
5087,2015,8,20
5087,2016,7,20
5087,2017,7,20
5087,2018,7,19
5087,2019,7,22
5087,2020,6,15
5087,2021,6,19
5087,2022,6,14
5087,2023,6,18
5089,2008,11,0
5089,2009,11,0
5089,2010,11,0
5089,2011,13,31
5089,2012,16,0
5089,2013,10,0
5089,2014,11,27
5089,2015,11,29
5089,2016,12,28
5089,2017,13,28
5089,2018,13,31
5089,2019,14,30
5089,2020,14,35
5089,2021,14,27
