fips,county_name,acs_vintage,pop_15plus,n_married,n_divorced,n_separated,n_widowed,n_never_married,pct_married,pct_divorced,pct_never_married,pct_widowed,pct_separated
05013,Calhoun,2010,4592,2412,560,169,418,1202,0.5253,0.122,0.2618,0.091,0.0368
05015,Carroll,2010,21944,13601,2469,479,1582,4292,0.6198,0.1125,0.1956,0.0721,0.0218
05017,Chicot,2010,9740,4156,1194,399,1224,3166,0.4267,0.1226,0.3251,0.1257,0.041
05019,Clark,2010,19275,8390,1587,367,1378,7920,0.4353,0.0823,0.4109,0.0715,0.019
05021,Clay,2010,13333,7699,1803,271,1264,2567,0.5774,0.1352,0.1925,0.0948,0.0203
05023,Cleburne,2010,21489,13534,2426,335,2114,3415,0.6298,0.1129,0.1589,0.0984,0.0156
05025,Cleveland,2010,6915,4050,792,149,437,1636,0.5857,0.1145,0.2366,0.0632,0.0215
05027,Columbia,2010,20097,10308,2205,620,1759,5825,0.5129,0.1097,0.2898,0.0875,0.0309
05029,Conway,2010,16888,8870,2536,381,1488,3994,0.5252,0.1502,0.2365,0.0881,0.0226
05031,Craighead,2010,73845,39677,8816,1852,4854,20498,0.5373,0.1194,0.2776,0.0657,0.0251
05033,Crawford,2010,47401,29391,5567,823,2731,9712,0.6201,0.1174,0.2049,0.0576,0.0174
05035,Crittenden,2010,38158,17935,4824,1695,2758,12641,0.47,0.1264,0.3313,0.0723,0.0444
05037,Cross,2010,14319,8031,1474,470,1331,3483,0.5609,0.1029,0.2432,0.093,0.0328
05039,Dallas,2010,6619,3420,996,143,723,1480,0.5167,0.1505,0.2236,0.1092,0.0216
05041,Desha,2010,10407,5109,1061,267,1046,3191,0.4909,0.102,0.3066,0.1005,0.0257
05043,Drew,2010,14955,7633,1858,249,1245,4219,0.5104,0.1242,0.2821,0.0832,0.0166
05045,Faulkner,2010,86140,46531,9157,1655,4353,26099,0.5402,0.1063,0.303,0.0505,0.0192
05047,Franklin,2010,14510,8065,2159,491,1324,2962,0.5558,0.1488,0.2041,0.0912,0.0338
05049,Fulton,2010,10104,6124,1227,168,851,1902,0.6061,0.1214,0.1882,0.0842,0.0166
05051,Garland,2010,78984,42629,11669,1636,7352,17334,0.5397,0.1477,0.2195,0.0931,0.0207
05053,Grant,2010,14178,9479,1371,202,818,2510,0.6686,0.0967,0.177,0.0577,0.0142
05055,Greene,2010,32642,19662,4634,827,2157,6189,0.6024,0.142,0.1896,0.0661,0.0253
05057,Hempstead,2010,17779,10245,1880,375,1387,4267,0.5762,0.1057,0.24,0.078,0.0211
05059,Hot Spring,2010,26423,14676,4122,732,1862,5763,0.5554,0.156,0.2181,0.0705,0.0277
05061,Howard,2010,10729,5952,1201,361,1028,2548,0.5548,0.1119,0.2375,0.0958,0.0336
05063,Independence,2010,28838,17313,3313,788,2234,5978,0.6004,0.1149,0.2073,0.0775,0.0273
05065,Izard,2010,11550,7378,1314,362,949,1909,0.6388,0.1138,0.1653,0.0822,0.0313
05067,Jackson,2010,14911,7271,2020,500,1516,4104,0.4876,0.1355,0.2752,0.1017,0.0335
05069,Jefferson,2010,62803,27122,9085,1955,4790,21806,0.4319,0.1447,0.3472,0.0763,0.0311
05071,Johnson,2010,19910,10283,3071,296,1824,4732,0.5165,0.1542,0.2377,0.0916,0.0149
05073,Lafayette,2010,6458,3231,675,187,661,1891,0.5003,0.1045,0.2928,0.1024,0.029
05075,Lawrence,2010,14023,8192,1563,485,1276,2992,0.5842,0.1115,0.2134,0.091,0.0346
05077,Lee,2010,8826,3331,1211,277,924,3360,0.3774,0.1372,0.3807,0.1047,0.0314
05079,Lincoln,2010,11904,5272,1522,565,735,4375,0.4429,0.1279,0.3675,0.0617,0.0475
05081,Little River,2010,10652,6098,1349,323,829,2376,0.5725,0.1266,0.2231,0.0778,0.0303
05083,Logan,2010,17909,10643,2395,431,1257,3614,0.5943,0.1337,0.2018,0.0702,0.0241
05085,Lonoke,2010,50708,30756,6061,1256,3106,10785,0.6065,0.1195,0.2127,0.0613,0.0248
05087,Madison,2010,12338,7614,1522,196,785,2417,0.6171,0.1234,0.1959,0.0636,0.0159
05089,Marion,2010,14232,9583,1295,255,1184,2170,0.6733,0.091,0.1525,0.0832,0.0179
05091,Miller,2010,34108,18295,4478,1110,2654,8681,0.5364,0.1313,0.2545,0.0778,0.0325
05093,Mississippi,2010,35796,17558,4519,1237,3162,10557,0.4905,0.1262,0.2949,0.0883,0.0346
05095,Monroe,2010,6888,3298,825,293,825,1940,0.4788,0.1198,0.2816,0.1198,0.0425
05097,Montgomery,2010,7743,5103,805,148,672,1163,0.659,0.104,0.1502,0.0868,0.0191
05099,Nevada,2010,7327,4199,951,168,725,1452,0.5731,0.1298,0.1982,0.0989,0.0229
05101,Newton,2010,6957,4502,675,149,541,1239,0.6471,0.097,0.1781,0.0778,0.0214
05103,Ouachita,2010,21212,10553,2973,708,2341,5345,0.4975,0.1402,0.252,0.1104,0.0334
05105,Perry,2010,8526,5087,1218,128,633,1588,0.5966,0.1429,0.1863,0.0742,0.015
05107,Phillips,2010,17095,7275,2120,747,1974,5726,0.4256,0.124,0.335,0.1155,0.0437
05109,Pike,2010,8851,5189,940,159,815,1907,0.5863,0.1062,0.2155,0.0921,0.018
05111,Poinsett,2010,19713,10299,2883,536,2074,4457,0.5224,0.1462,0.2261,0.1052,0.0272
05113,Polk,2010,16466,10033,2121,171,1604,2708,0.6093,0.1288,0.1645,0.0974,0.0104
05115,Pope,2010,48731,27034,6026,861,3029,12642,0.5548,0.1237,0.2594,0.0622,0.0177
05117,Prairie,2010,7289,4415,788,194,657,1429,0.6057,0.1081,0.196,0.0901,0.0266
