fips,county,year,total_crashes,crashes_sun,share_sun,crashes_mon,share_mon,crashes_tue,share_tue,crashes_wed,share_wed,crashes_thu,share_thu,crashes_fri,share_fri,crashes_sat,share_sat
5013,Calhoun,2018,2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5
5013,Calhoun,2019,3,0,0.0,1,0.3333,2,0.6667,0,0.0,0,0.0,0,0.0,0,0.0
5013,Calhoun,2020,2,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0
5013,Calhoun,2021,5,0,0.0,0,0.0,2,0.4,2,0.4,0,0.0,1,0.2,0,0.0
5013,Calhoun,2022,5,0,0.0,1,0.2,2,0.4,0,0.0,0,0.0,1,0.2,1,0.2
5013,Calhoun,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5015,Carroll,2008,11,3,0.2727,2,0.1818,4,0.3636,0,0.0,0,0.0,1,0.0909,1,0.0909
5015,Carroll,2009,9,3,0.3333,1,0.1111,2,0.2222,0,0.0,1,0.1111,0,0.0,2,0.2222
5015,Carroll,2010,9,2,0.2222,1,0.1111,1,0.1111,1,0.1111,2,0.2222,1,0.1111,1,0.1111
5015,Carroll,2011,10,2,0.2,1,0.1,0,0.0,0,0.0,1,0.1,2,0.2,4,0.4
5015,Carroll,2012,8,1,0.125,1,0.125,0,0.0,1,0.125,1,0.125,2,0.25,2,0.25
5015,Carroll,2013,8,1,0.125,1,0.125,0,0.0,3,0.375,0,0.0,3,0.375,0,0.0
5015,Carroll,2014,3,0,0.0,1,0.3333,0,0.0,0,0.0,0,0.0,1,0.3333,1,0.3333
5015,Carroll,2015,13,2,0.1538,3,0.2308,2,0.1538,1,0.0769,1,0.0769,2,0.1538,2,0.1538
5015,Carroll,2016,9,3,0.3333,1,0.1111,0,0.0,1,0.1111,1,0.1111,1,0.1111,2,0.2222
5015,Carroll,2017,9,0,0.0,2,0.2222,0,0.0,1,0.1111,0,0.0,2,0.2222,4,0.4444
5015,Carroll,2018,9,1,0.1111,3,0.3333,1,0.1111,2,0.2222,0,0.0,1,0.1111,1,0.1111
5015,Carroll,2019,3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3333,1,0.3333,1,0.3333
5015,Carroll,2020,10,1,0.1,1,0.1,1,0.1,1,0.1,1,0.1,4,0.4,1,0.1
5015,Carroll,2021,4,1,0.25,0,0.0,0,0.0,1,0.25,0,0.0,0,0.0,2,0.5
5015,Carroll,2022,5,2,0.4,0,0.0,1,0.2,1,0.2,0,0.0,0,0.0,1,0.2
5015,Carroll,2023,7,1,0.1429,0,0.0,0,0.0,1,0.1429,3,0.4286,0,0.0,2,0.2857
5017,Chicot,2008,3,1,0.3333,0,0.0,0,0.0,0,0.0,2,0.6667,0,0.0,0,0.0
5017,Chicot,2009,4,1,0.25,0,0.0,1,0.25,1,0.25,0,0.0,1,0.25,0,0.0
5017,Chicot,2010,2,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
5017,Chicot,2011,3,1,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.6667
5017,Chicot,2012,4,2,0.5,1,0.25,0,0.0,0,0.0,1,0.25,0,0.0,0,0.0
5017,Chicot,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5017,Chicot,2014,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,0.5
5017,Chicot,2015,6,0,0.0,2,0.3333,0,0.0,0,0.0,1,0.1667,2,0.3333,1,0.1667
5017,Chicot,2016,7,0,0.0,1,0.1429,1,0.1429,2,0.2857,1,0.1429,2,0.2857,0,0.0
5017,Chicot,2017,4,1,0.25,0,0.0,0,0.0,1,0.25,1,0.25,0,0.0,1,0.25
5017,Chicot,2018,2,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0
5017,Chicot,2019,5,0,0.0,2,0.4,0,0.0,0,0.0,0,0.0,3,0.6,0,0.0
5017,Chicot,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5017,Chicot,2021,3,1,0.3333,0,0.0,0,0.0,0,0.0,2,0.6667,0,0.0,0,0.0
5017,Chicot,2022,3,0,0.0,1,0.3333,1,0.3333,0,0.0,1,0.3333,0,0.0,0,0.0
5017,Chicot,2023,4,1,0.25,1,0.25,0,0.0,0,0.0,0,0.0,1,0.25,1,0.25
5019,Clark,2008,4,1,0.25,0,0.0,0,0.0,0,0.0,1,0.25,1,0.25,1,0.25
5019,Clark,2009,7,1,0.1429,1,0.1429,2,0.2857,0,0.0,2,0.2857,1,0.1429,0,0.0
5019,Clark,2010,6,1,0.1667,2,0.3333,0,0.0,1,0.1667,0,0.0,1,0.1667,1,0.1667
5019,Clark,2011,3,1,0.3333,2,0.6667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5019,Clark,2012,5,1,0.2,1,0.2,0,0.0,1,0.2,0,0.0,0,0.0,2,0.4
5019,Clark,2013,5,2,0.4,2,0.4,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0
5019,Clark,2014,7,2,0.2857,0,0.0,2,0.2857,1,0.1429,0,0.0,0,0.0,2,0.2857
5019,Clark,2015,3,0,0.0,0,0.0,0,0.0,1,0.3333,1,0.3333,1,0.3333,0,0.0
5019,Clark,2016,2,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0
5019,Clark,2017,5,1,0.2,0,0.0,2,0.4,1,0.2,0,0.0,0,0.0,1,0.2
5019,Clark,2018,8,2,0.25,0,0.0,1,0.125,0,0.0,2,0.25,2,0.25,1,0.125
5019,Clark,2019,5,1,0.2,0,0.0,1,0.2,1,0.2,2,0.4,0,0.0,0,0.0
5019,Clark,2020,4,1,0.25,0,0.0,0,0.0,0,0.0,1,0.25,1,0.25,1,0.25
5019,Clark,2021,10,1,0.1,2,0.2,2,0.2,1,0.1,1,0.1,0,0.0,3,0.3
5019,Clark,2022,6,0,0.0,1,0.1667,2,0.3333,0,0.0,0,0.0,1,0.1667,2,0.3333
5019,Clark,2023,6,0,0.0,1,0.1667,2,0.3333,0,0.0,1,0.1667,2,0.3333,0,0.0
5021,Clay,2008,2,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0
5021,Clay,2009,2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0
5021,Clay,2010,5,0,0.0,1,0.2,1,0.2,1,0.2,1,0.2,1,0.2,0,0.0
5021,Clay,2011,6,0,0.0,2,0.3333,0,0.0,1,0.1667,2,0.3333,0,0.0,1,0.1667
5021,Clay,2012,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,0.5
5021,Clay,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5021,Clay,2014,4,1,0.25,0,0.0,0,0.0,1,0.25,0,0.0,0,0.0,2,0.5
5021,Clay,2015,6,3,0.5,0,0.0,1,0.1667,0,0.0,2,0.3333,0,0.0,0,0.0
5021,Clay,2016,5,1,0.2,1,0.2,0,0.0,2,0.4,0,0.0,0,0.0,1,0.2
5021,Clay,2017,5,0,0.0,1,0.2,1,0.2,1,0.2,1,0.2,1,0.2,0,0.0
5021,Clay,2018,5,1,0.2,0,0.0,0,0.0,1,0.2,1,0.2,1,0.2,1,0.2
5021,Clay,2019,2,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0
5021,Clay,2020,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
5021,Clay,2021,7,2,0.2857,0,0.0,2,0.2857,0,0.0,0,0.0,1,0.1429,2,0.2857
5021,Clay,2022,3,0,0.0,0,0.0,1,0.3333,0,0.0,0,0.0,1,0.3333,1,0.3333
5021,Clay,2023,1,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
5023,Cleburne,2008,6,0,0.0,1,0.1667,0,0.0,0,0.0,0,0.0,2,0.3333,3,0.5
5023,Cleburne,2009,4,0,0.0,1,0.25,1,0.25,0,0.0,1,0.25,0,0.0,1,0.25
5023,Cleburne,2010,6,2,0.3333,0,0.0,1,0.1667,1,0.1667,0,0.0,0,0.0,2,0.3333
5023,Cleburne,2011,13,3,0.2308,0,0.0,1,0.0769,0,0.0,1,0.0769,4,0.3077,4,0.3077
5023,Cleburne,2012,9,1,0.1111,1,0.1111,1,0.1111,1,0.1111,1,0.1111,4,0.4444,0,0.0
5023,Cleburne,2013,5,0,0.0,0,0.0,0,0.0,1,0.2,3,0.6,0,0.0,1,0.2
5023,Cleburne,2014,6,1,0.1667,0,0.0,2,0.3333,1,0.1667,1,0.1667,1,0.1667,0,0.0
5023,Cleburne,2015,5,0,0.0,1,0.2,0,0.0,2,0.4,1,0.2,0,0.0,1,0.2
5023,Cleburne,2016,2,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0
5023,Cleburne,2017,7,2,0.2857,1,0.1429,0,0.0,0,0.0,2,0.2857,0,0.0,2,0.2857
5023,Cleburne,2018,6,1,0.1667,1,0.1667,0,0.0,0,0.0,3,0.5,0,0.0,1,0.1667
5023,Cleburne,2019,8,0,0.0,2,0.25,0,0.0,0,0.0,1,0.125,1,0.125,4,0.5
5023,Cleburne,2020,13,5,0.3846,2,0.1538,1,0.0769,1,0.0769,4,0.3077,0,0.0,0,0.0
5023,Cleburne,2021,5,2,0.4,2,0.4,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2
5023,Cleburne,2022,4,0,0.0,0,0.0,1,0.25,0,0.0,1,0.25,1,0.25,1,0.25
5023,Cleburne,2023,4,0,0.0,0,0.0,1,0.25,0,0.0,0,0.0,2,0.5,1,0.25
5025,Cleveland,2008,2,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5025,Cleveland,2009,3,0,0.0,0,0.0,1,0.3333,0,0.0,0,0.0,2,0.6667,0,0.0
5025,Cleveland,2010,4,1,0.25,1,0.25,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5
5025,Cleveland,2011,3,0,0.0,1,0.3333,1,0.3333,0,0.0,0,0.0,0,0.0,1,0.3333
5025,Cleveland,2012,3,0,0.0,0,0.0,1,0.3333,2,0.6667,0,0.0,0,0.0,0,0.0
5025,Cleveland,2013,3,0,0.0,1,0.3333,0,0.0,1,0.3333,0,0.0,1,0.3333,0,0.0
5025,Cleveland,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5025,Cleveland,2015,2,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0
5025,Cleveland,2016,3,0,0.0,2,0.6667,0,0.0,0,0.0,1,0.3333,0,0.0,0,0.0
5025,Cleveland,2017,2,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
5025,Cleveland,2018,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0
5025,Cleveland,2019,3,0,0.0,0,0.0,1,0.3333,0,0.0,1,0.3333,0,0.0,1,0.3333
5025,Cleveland,2020,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
5025,Cleveland,2021,3,0,0.0,0,0.0,1,0.3333,0,0.0,0,0.0,1,0.3333,1,0.3333
5025,Cleveland,2022,5,1,0.2,1,0.2,1,0.2,0,0.0,1,0.2,1,0.2,0,0.0
5025,Cleveland,2023,3,1,0.3333,0,0.0,1,0.3333,0,0.0,0,0.0,0,0.0,1,0.3333
5027,Columbia,2008,4,1,0.25,2,0.5,1,0.25,0,0.0,0,0.0,0,0.0,0,0.0
5027,Columbia,2009,3,2,0.6667,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3333,0,0.0
5027,Columbia,2010,5,0,0.0,0,0.0,0,0.0,1,0.2,1,0.2,2,0.4,1,0.2
5027,Columbia,2011,9,1,0.1111,0,0.0,0,0.0,1,0.1111,2,0.2222,3,0.3333,2,0.2222
5027,Columbia,2012,5,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,1,0.2,3,0.6
5027,Columbia,2013,5,0,0.0,0,0.0,1,0.2,2,0.4,1,0.2,0,0.0,1,0.2
5027,Columbia,2014,4,0,0.0,1,0.25,0,0.0,2,0.5,1,0.25,0,0.0,0,0.0
5027,Columbia,2015,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0
5027,Columbia,2016,5,1,0.2,1,0.2,1,0.2,1,0.2,0,0.0,1,0.2,0,0.0
5027,Columbia,2017,3,0,0.0,1,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,2,0.6667
5027,Columbia,2018,2,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0
5027,Columbia,2019,4,0,0.0,0,0.0,0,0.0,0,0.0,1,0.25,0,0.0,3,0.75
5027,Columbia,2020,6,1,0.1667,2,0.3333,2,0.3333,0,0.0,0,0.0,0,0.0,1,0.1667
5027,Columbia,2021,6,0,0.0,1,0.1667,3,0.5,1,0.1667,0,0.0,0,0.0,1,0.1667
