year,month,crash_fips,home_fips,dr_drink,resident,in_state,out_of_state,home_dry
2008,5,05101,05007,0,False,True,False,True
2008,5,05125,05125,1,True,True,False,True
2008,5,05141,05141,0,True,True,False,True
2008,5,05141,12113,0,False,False,True,
2008,5,05057,05057,1,True,True,False,True
2008,5,05085,05085,1,True,True,False,True
2008,5,05059,05031,0,False,True,False,True
2008,5,05127,05149,1,False,True,False,True
2008,5,05127,05113,0,False,True,False,True
2008,5,05031,05055,0,False,True,False,False
2008,5,05107,26163,1,False,False,True,
2008,5,05033,53053,0,False,False,True,
2008,5,05113,05113,0,True,True,False,True
2008,5,05113,05113,0,True,True,False,True
2008,5,05145,05145,0,True,True,False,True
2008,5,05145,05069,0,False,True,False,False
2008,5,05029,05045,0,False,True,False,True
2008,5,05029,05029,0,True,True,False,False
2008,5,05033,05033,0,True,True,False,True
2008,5,05033,05033,0,True,True,False,True
2008,5,05033,05033,0,True,True,False,True
2008,5,05131,05131,0,True,True,False,True
2008,5,05131,05131,0,True,True,False,True
2008,5,05019,05043,0,False,True,False,False
2008,5,05019,22103,0,False,False,True,
2008,4,05035,05035,0,True,True,False,False
2008,4,05115,05085,0,False,True,False,True
2008,6,05119,05119,0,True,True,False,False
2008,6,05113,05113,1,True,True,False,True
2008,6,05085,05085,0,True,True,False,True
2008,6,05085,05085,0,True,True,False,True
2008,6,05003,05017,0,False,True,False,False
2008,6,05143,05143,1,True,True,False,False
2008,6,05119,05119,1,True,True,False,False
2008,6,05133,05133,0,True,True,False,True
2008,6,05049,05049,0,True,True,False,True
2008,6,05051,05051,0,True,True,False,False
2008,6,05051,05051,0,True,True,False,False
2008,6,05113,05113,0,True,True,False,True
2008,6,05113,05097,0,False,True,False,True
2008,6,05085,05085,0,True,True,False,True
2008,6,05085,05085,0,True,True,False,True
2008,6,05117,05045,0,False,True,False,True
2008,6,05117,05001,1,False,True,False,False
2008,6,05131,05131,1,True,True,False,True
2008,6,05119,05045,1,False,True,False,True
2008,6,05119,05083,1,False,True,False,True
2008,6,05023,05145,1,False,True,False,True
2008,6,05119,05119,0,True,True,False,False
2008,6,05119,05119,0,True,True,False,False
2008,6,05137,05023,1,False,True,False,True
2008,6,05137,05023,1,False,True,False,True
2008,6,05077,05077,0,True,True,False,False
2008,6,05067,05063,1,False,True,False,True
2008,6,05051,05051,0,True,True,False,False
2008,6,05051,05051,0,True,True,False,False
2008,6,05119,05145,1,False,True,False,True
2008,6,05119,05119,0,True,True,False,False
2008,6,05125,26147,0,False,False,True,
2008,6,05125,05045,1,False,True,False,True
2008,6,05125,05029,0,False,True,False,False
2008,6,05145,05117,0,False,True,False,False
2008,6,05031,05031,0,True,True,False,True
2008,6,05097,05109,0,False,True,False,True
2008,6,05059,05053,0,False,True,False,True
2008,6,05023,05085,0,False,True,False,True
2008,6,05119,05085,0,False,True,False,True
2008,6,05119,,0,,,,
2008,6,05119,05119,0,True,True,False,False
2008,6,05067,05067,0,True,True,False,False
2008,6,05057,05057,0,True,True,False,True
2008,6,05057,48037,0,False,False,True,
2008,6,05069,05069,0,True,True,False,False
2008,6,05107,05107,0,True,True,False,False
2008,6,05007,05007,0,True,True,False,True
2008,6,05007,05007,0,True,True,False,True
2008,6,05007,05119,0,False,True,False,False
2008,6,05009,29105,0,False,False,True,
2008,6,05009,05009,0,True,True,False,False
2008,6,05119,05119,0,True,True,False,False
2008,6,05051,05051,0,True,True,False,False
2008,6,05051,05051,0,True,True,False,False
2008,6,05073,05027,1,False,True,False,True
2008,6,05073,05073,0,True,True,False,True
2008,6,05115,05115,0,True,True,False,True
2008,6,05115,05115,0,True,True,False,True
2008,6,05051,05051,1,True,True,False,False
2008,6,05015,05015,0,True,True,False,False
2008,6,05015,29213,0,False,False,True,
2008,6,05117,05107,0,False,True,False,False
2008,6,05117,17039,0,False,False,True,
2008,6,05117,12121,0,False,False,True,
2008,6,05117,01033,0,False,False,True,
2008,6,05083,05083,0,True,True,False,True
2008,6,05015,05143,0,False,True,False,False
2008,6,05015,19169,0,False,False,True,
2008,6,05025,05025,0,True,True,False,False
2008,6,05147,05147,1,True,True,False,False
2008,6,05043,05043,0,True,True,False,False
2008,6,05067,17111,0,False,False,True,
2008,6,05139,48157,0,False,False,True,
2008,6,05119,05147,1,False,True,False,False
2008,6,05123,05035,1,False,True,False,False
2008,6,05131,05131,0,True,True,False,True
2008,6,05131,05131,0,True,True,False,True
2008,6,05077,05077,0,True,True,False,False
2008,6,05091,40083,0,False,False,True,
2008,6,05143,05143,1,True,True,False,False
2008,6,05143,05143,0,True,True,False,False
2008,6,05093,48121,0,False,False,True,
2008,6,05093,41065,0,False,False,True,
2008,6,05101,05071,0,False,True,False,True
2008,6,05101,48201,0,False,False,True,
2008,6,05101,48201,0,False,False,True,
2008,6,05083,05083,1,True,True,False,True
2008,6,05121,05075,0,False,True,False,True
2008,6,05119,,1,,,,
2008,6,05015,05089,0,False,True,False,False
2008,6,05015,05009,0,False,True,False,False
2008,6,05131,40135,1,False,False,True,
2008,4,05127,05127,0,True,True,False,True
2008,7,05039,05039,0,True,True,False,False
2008,7,05119,05119,0,True,True,False,False
2008,7,05119,05105,0,False,True,False,True
2008,7,05007,40001,0,False,False,True,
2008,7,05007,05007,0,True,True,False,True
2008,7,05055,05055,0,True,True,False,False
2008,7,05055,05067,0,False,True,False,False
2008,7,05119,48201,0,False,False,True,
2008,7,05115,05115,0,True,True,False,True
2008,7,05115,05119,0,False,True,False,False
2008,7,05045,05045,0,True,True,False,True
2008,7,05083,05083,1,True,True,False,True
2008,7,05113,05113,1,True,True,False,True
2008,7,05037,05037,0,True,True,False,False
2008,7,05037,05037,0,True,True,False,False
2008,7,05119,05085,0,False,True,False,True
2008,7,05119,05085,0,False,True,False,True
2008,7,05093,47157,0,False,False,True,
2008,7,05051,05059,1,False,True,False,True
2008,7,05051,05059,1,False,True,False,True
2008,7,05051,05059,0,False,True,False,True
2008,7,05145,05145,1,True,True,False,True
2008,7,05067,05063,0,False,True,False,True
2008,7,05057,05099,0,False,True,False,True
2008,7,05035,17163,0,False,False,True,
2008,7,05031,05031,0,True,True,False,True
2008,7,05031,05031,1,True,True,False,True
2008,7,05007,05007,0,True,True,False,True
2008,7,05007,29077,0,False,False,True,
2008,7,05125,05125,1,True,True,False,True
2008,7,05119,05119,0,True,True,False,False
2008,7,05119,05119,0,True,True,False,False
2008,7,05145,05145,0,True,True,False,True
2008,7,05119,05119,0,True,True,False,False
2008,7,05119,05141,0,False,True,False,True
2008,7,05121,05075,0,False,True,False,True
2008,7,05051,05051,0,True,True,False,False
2008,7,05051,05059,0,False,True,False,True
2008,7,05141,05023,0,False,True,False,True
2008,7,05141,05023,0,False,True,False,True
2008,7,05061,05081,0,False,True,False,True
2008,7,05069,05069,1,True,True,False,False
2008,7,05031,05031,0,True,True,False,True
2008,7,05115,05143,1,False,True,False,False
2008,7,05115,05115,0,True,True,False,True
2008,7,05115,05115,0,True,True,False,True
2008,7,05091,05057,0,False,True,False,True
2008,7,05009,05101,0,False,True,False,True
2008,7,05115,29095,0,False,False,True,
2008,7,05115,05063,0,False,True,False,True
2008,7,05037,05041,0,False,True,False,False
2008,7,05145,05145,1,True,True,False,True
2008,7,05145,05145,1,True,True,False,True
2008,7,05007,05007,0,True,True,False,True
2008,7,05007,05143,0,False,True,False,False
2008,7,05055,05055,0,True,True,False,False
2008,7,05005,05005,0,True,True,False,False
2008,7,05117,05085,0,False,True,False,True
2008,7,05007,20037,1,False,False,True,
2008,7,05007,05143,0,False,True,False,False
2008,7,05007,05007,0,True,True,False,True
2008,7,05131,05131,0,True,True,False,True
2008,7,05029,48439,0,False,False,True,
2008,7,05061,48037,0,False,False,True,
2008,7,05061,05061,0,True,True,False,True
2008,7,05045,05045,1,True,True,False,True
2008,5,05093,05093,0,True,True,False,False
2008,8,05143,05143,1,True,True,False,False
2008,7,05139,05139,1,True,True,False,False
2008,8,05079,05079,0,True,True,False,True
2008,8,05017,05017,0,True,True,False,False
2008,8,05045,05141,1,False,True,False,True
2008,8,05013,05013,0,True,True,False,False
2008,8,05125,05125,0,True,True,False,True
2008,8,05091,17031,0,False,False,True,
2008,8,05145,05145,0,True,True,False,True
2008,8,05015,05015,1,True,True,False,False
2008,8,05075,05121,0,False,True,False,True
2008,8,05075,40089,1,False,False,True,
2008,8,05007,05007,1,True,True,False,True
2008,8,05029,05029,0,True,True,False,False
