crash_fips,year,month,n_drivers,n_drink,sh_nonresident,sh_out_of_state,sh_home_dry,sh_nonresident_drink,sh_home_dry_drink
05007,2009,9,2,0,0.0,0.0,1.0,,
05007,2009,11,5,1,0.4,0.4,1.0,0.0,1.0
05007,2009,12,1,1,0.0,0.0,1.0,0.0,1.0
05007,2010,1,2,0,0.0,0.0,1.0,,
05007,2010,2,2,0,0.5,0.5,1.0,,
05007,2010,3,5,1,0.19999999999999996,0.0,0.8,1.0,0.0
05007,2010,4,2,1,0.5,0.5,1.0,0.0,1.0
05007,2010,5,9,0,0.2222222222222222,0.1111111111111111,0.875,,
05007,2010,7,3,2,0.0,0.0,1.0,0.0,1.0
05007,2010,8,5,2,0.0,0.0,1.0,0.0,1.0
05007,2010,9,2,0,1.0,0.5,1.0,,
05007,2010,10,4,0,0.5,0.25,0.6666666666666666,,
05007,2010,11,4,2,0.25,0.25,1.0,0.0,1.0
05007,2010,12,4,2,0.25,0.25,1.0,0.0,1.0
05007,2011,1,3,1,0.6666666666666667,0.0,0.3333333333333333,1.0,0.0
05007,2011,4,2,1,0.0,0.0,1.0,0.0,1.0
05007,2011,5,1,0,1.0,0.0,0.0,,
05007,2011,6,2,0,0.0,0.0,1.0,,
05007,2011,7,4,1,0.5,0.0,0.5,0.0,1.0
05007,2011,8,6,0,0.5,0.16666666666666666,0.6,,
05007,2011,9,3,0,0.33333333333333337,0.0,0.6666666666666666,,
05007,2011,11,3,0,0.33333333333333337,0.0,0.6666666666666666,,
05007,2011,12,3,0,0.0,0.0,1.0,,
05007,2012,3,1,0,1.0,1.0,,,
05007,2012,4,7,2,0.5714285714285714,0.14285714285714285,0.0,0.5,0.0
05007,2012,5,3,2,0.0,0.0,0.0,0.0,0.0
05007,2012,6,5,3,0.6,0.4,0.3333333333333333,0.6666666666666667,0.5
05007,2012,7,1,1,0.0,0.0,0.0,0.0,0.0
05007,2012,8,2,0,0.0,0.0,0.0,,
05007,2012,9,6,2,0.33333333333333337,0.0,0.0,0.5,0.0
05007,2012,11,3,1,0.0,0.0,0.0,0.0,0.0
05007,2012,12,3,1,0.0,0.0,0.0,0.0,0.0
05007,2013,1,3,1,0.33333333333333337,0.3333333333333333,0.0,0.0,0.0
05007,2013,2,3,0,0.33333333333333337,0.0,0.0,,
05007,2013,3,3,0,1.0,1.0,,,
05007,2013,4,1,0,0.0,0.0,0.0,,
05007,2013,5,1,0,0.0,0.0,0.0,,
05007,2013,7,1,0,0.0,0.0,0.0,,
05007,2013,8,2,0,0.5,0.5,0.0,,
05007,2013,9,1,0,1.0,1.0,,,
05007,2013,10,4,0,0.0,0.0,0.0,,
05007,2013,11,2,0,0.0,0.0,0.0,,
05007,2014,2,1,0,1.0,0.0,0.0,,
05007,2014,3,5,0,0.19999999999999996,0.0,0.0,,
05007,2014,4,3,1,1.0,0.0,0.5,1.0,0.0
05007,2014,6,3,0,0.33333333333333337,0.3333333333333333,0.0,,
05007,2014,7,2,0,0.0,0.0,0.0,,
05007,2014,8,1,1,0.0,0.0,0.0,0.0,0.0
05007,2014,9,2,0,1.0,1.0,,,
05007,2014,10,2,0,0.5,0.5,0.0,,
05007,2014,11,3,0,0.33333333333333337,0.0,0.0,,
05007,2015,1,4,1,0.5,0.0,0.0,0.0,0.0
05007,2015,3,5,0,0.6,0.2,0.0,,
05007,2015,4,1,1,1.0,1.0,,1.0,
05007,2015,6,4,1,0.5,0.25,0.3333333333333333,0.0,0.0
05007,2015,7,2,1,0.5,0.5,0.0,0.0,0.0
05007,2015,8,8,1,0.25,0.0,0.0,0.0,0.0
05007,2015,9,6,4,0.33333333333333337,0.0,0.0,0.5,0.0
05007,2015,10,3,0,0.6666666666666667,0.6666666666666666,0.0,,
05007,2015,11,3,0,0.6666666666666667,0.3333333333333333,0.0,,
05007,2016,1,2,0,0.0,0.0,0.0,,
05007,2016,2,6,0,0.16666666666666663,0.16666666666666666,0.0,,
05007,2016,3,2,0,1.0,0.5,1.0,,
05007,2016,5,2,0,0.0,0.0,0.0,,
05007,2016,6,10,2,0.5,0.2,0.0,0.0,0.0
05007,2016,7,6,1,0.0,0.0,0.0,0.0,0.0
05007,2016,8,5,0,0.4,0.0,0.0,,
05007,2016,9,4,0,0.0,0.0,0.0,,
05007,2016,10,2,0,0.0,0.0,0.0,,
05007,2016,11,1,0,0.0,0.0,0.0,,
05007,2016,12,5,1,0.4,0.4,0.0,0.0,0.0
05007,2017,3,6,1,0.6666666666666667,0.3333333333333333,0.0,1.0,0.0
05007,2017,4,2,0,0.0,0.0,0.0,,
05007,2017,5,2,0,0.0,0.0,0.0,,
05007,2017,7,4,1,0.5,0.0,0.25,1.0,0.0
05007,2017,8,2,0,0.0,0.0,0.0,,
05007,2017,9,5,2,0.6,0.4,0.0,1.0,0.0
05007,2017,10,4,0,0.5,0.0,0.25,,
05007,2017,11,2,0,0.0,0.0,0.0,,
05007,2017,12,2,0,1.0,1.0,,,
05007,2018,1,6,2,0.33333333333333337,0.16666666666666666,0.0,1.0,0.0
05007,2018,2,1,1,1.0,0.0,0.0,1.0,0.0
05007,2018,3,3,1,1.0,0.0,0.0,1.0,0.0
05007,2018,4,3,0,0.0,0.0,0.0,,
05007,2018,6,6,2,0.33333333333333337,0.0,0.0,0.5,0.0
05007,2018,8,2,0,0.0,0.0,0.0,,
05007,2018,9,2,0,0.0,0.0,0.0,,
05007,2018,11,2,1,0.0,0.0,0.0,0.0,0.0
05007,2019,1,5,1,0.4,0.0,0.0,0.0,0.0
05007,2019,2,2,1,0.5,0.5,0.0,0.0,0.0
05007,2019,3,2,1,0.5,0.5,0.0,1.0,
05007,2019,4,5,1,0.0,0.0,0.0,0.0,0.0
05007,2019,5,3,0,0.33333333333333337,0.0,0.0,,
05007,2019,7,1,0,0.0,0.0,0.0,,
05007,2019,8,4,1,0.0,0.0,0.0,0.0,0.0
05007,2019,9,2,0,0.0,0.0,0.0,,
05007,2019,10,4,0,0.0,0.0,0.0,,
05007,2019,12,2,0,0.0,0.0,0.0,,
05007,2020,1,5,0,0.4,0.2,0.0,,
05007,2020,3,3,0,0.33333333333333337,0.3333333333333333,0.0,,
05007,2020,4,6,4,0.16666666666666663,0.16666666666666666,0.0,0.25,0.0
05007,2020,5,3,2,0.0,0.0,0.0,0.0,0.0
05007,2020,6,7,1,0.5,0.0,0.0,0.0,0.0
05007,2020,7,9,4,0.2222222222222222,0.0,0.0,0.25,0.0
05007,2020,8,4,1,0.6666666666666667,0.3333333333333333,0.5,1.0,
05007,2020,9,7,1,0.2857142857142857,0.0,0.0,0.0,0.0
05007,2020,10,5,1,0.19999999999999996,0.2,0.0,1.0,
05007,2020,11,3,1,0.6666666666666667,0.0,0.0,0.0,0.0
05007,2020,12,3,0,0.6666666666666667,0.6666666666666666,0.0,,
05007,2021,1,2,1,0.0,0.0,0.0,0.0,0.0
05007,2021,2,7,2,0.1428571428571429,0.0,0.0,0.0,0.0
05007,2021,3,4,1,0.0,0.0,0.0,0.0,0.0
05007,2021,4,3,0,0.0,0.0,0.0,,
05007,2021,5,7,4,0.7142857142857143,0.0,0.0,0.75,0.0
05007,2021,6,3,0,0.6666666666666667,0.6666666666666666,0.0,,
05007,2021,7,5,1,0.19999999999999996,0.2,0.0,0.0,0.0
05007,2021,8,9,0,0.6666666666666667,0.5555555555555556,0.0,,
05007,2021,9,3,1,0.33333333333333337,0.0,0.0,0.0,0.0
