crash_fips,year,n_drivers,n_drink,sh_nonresident,sh_out_of_state,sh_home_dry,sh_nonresident_drink,sh_home_dry_drink
05031,2012,26,4,0.3846153846153846,0.07692307692307693,0.7083333333333334,0.25,0.75
05031,2013,21,5,0.23809523809523814,0.0,0.7619047619047619,0.0,1.0
05031,2014,17,3,0.2941176470588235,0.058823529411764705,0.875,0.33333333333333337,0.6666666666666666
05031,2015,26,2,0.15384615384615385,0.038461538461538464,0.92,0.0,1.0
05031,2016,26,6,0.23076923076923073,0.038461538461538464,0.88,0.5,0.6666666666666666
05031,2017,25,7,0.56,0.08,0.6086956521739131,0.4285714285714286,0.6666666666666666
05031,2018,29,2,0.31034482758620685,0.06896551724137931,0.7777777777777778,0.0,1.0
05031,2019,30,3,0.5,0.2,0.7083333333333334,0.6666666666666667,0.5
05031,2020,24,8,0.375,0.08333333333333333,0.6818181818181818,0.25,0.75
05031,2021,25,4,0.43999999999999995,0.12,0.7727272727272727,0.25,0.75
05031,2022,37,4,0.6666666666666667,0.16666666666666666,0.43333333333333335,0.25,1.0
05031,2023,14,2,0.5,0.16666666666666666,0.9,1.0,1.0
05033,2008,15,3,0.5333333333333333,0.4,1.0,0.6666666666666667,1.0
05033,2009,18,2,0.4444444444444444,0.1111111111111111,0.875,0.5,1.0
05033,2010,5,0,0.5,0.25,1.0,,
05033,2011,8,2,0.625,0.25,0.8333333333333334,1.0,0.0
05033,2012,8,2,0.25,0.0,0.875,0.0,1.0
05033,2013,8,2,0.125,0.0,0.875,0.0,1.0
05033,2014,17,5,0.4117647058823529,0.0,0.8823529411764706,0.19999999999999996,1.0
05033,2015,15,0,0.33333333333333337,0.13333333333333333,0.9230769230769231,,
05033,2016,17,2,0.5294117647058824,0.11764705882352941,0.8,0.5,1.0
05033,2017,17,4,0.5625,0.25,0.6666666666666666,0.6666666666666667,0.6666666666666666
05033,2018,15,5,0.4666666666666667,0.13333333333333333,0.9230769230769231,0.6,1.0
05033,2019,9,1,0.5555555555555556,0.4444444444444444,1.0,0.0,1.0
05033,2020,7,2,0.4285714285714286,0.14285714285714285,1.0,0.0,1.0
05033,2021,10,2,0.9,0.1,0.6666666666666666,0.5,1.0
05033,2022,16,2,0.5625,0.4375,0.8888888888888888,1.0,
05033,2023,5,0,0.8,0.4,1.0,,
05035,2008,14,0,0.7142857142857143,0.35714285714285715,0.2222222222222222,,
05035,2009,14,3,0.7857142857142857,0.5,0.0,0.6666666666666667,0.0
05035,2010,13,5,0.5384615384615384,0.23076923076923078,0.1,0.6,0.25
05035,2011,17,5,0.7058823529411764,0.4117647058823529,0.4,0.4,0.0
05035,2012,25,3,0.64,0.44,0.07142857142857142,0.33333333333333337,0.0
05035,2013,17,6,0.6470588235294117,0.4117647058823529,0.0,0.8333333333333334,0.0
05035,2014,22,4,0.4545454545454546,0.45454545454545453,0.0,0.5,0.0
05035,2015,16,1,0.6875,0.3125,0.0,0.0,0.0
05035,2016,23,2,0.6956521739130435,0.4782608695652174,0.0,0.5,0.0
05035,2017,11,1,0.6,0.4,0.16666666666666666,1.0,0.0
05035,2018,29,4,0.5172413793103448,0.4827586206896552,0.0,0.25,0.0
05035,2019,18,4,0.5333333333333333,0.4,0.0,0.25,0.0
05035,2020,18,4,0.75,0.4375,0.0,0.5,0.0
05035,2021,16,2,0.375,0.1875,0.0,0.5,0.0
05035,2022,30,4,0.5,0.4642857142857143,0.06666666666666667,0.25,0.0
05035,2023,36,5,0.5714285714285714,0.37142857142857144,0.045454545454545456,0.19999999999999996,0.0
05037,2008,9,1,0.5555555555555556,0.2222222222222222,0.0,1.0,0.0
05037,2009,3,2,0.33333333333333337,0.0,0.0,0.5,0.0
05037,2010,12,1,0.41666666666666663,0.08333333333333333,0.0,1.0,0.0
05037,2011,4,0,0.5,0.25,0.0,,
05037,2012,3,0,0.0,0.0,0.0,,
05037,2013,2,1,0.5,0.0,0.5,0.0,0.0
05037,2014,11,1,0.4545454545454546,0.09090909090909091,0.0,0.0,0.0
05037,2015,5,1,0.8,0.2,0.25,1.0,0.0
05037,2016,3,0,1.0,0.0,0.0,,
05037,2017,7,3,0.2857142857142857,0.0,0.0,0.0,0.0
05037,2018,5,0,0.4,0.4,0.0,,
05037,2019,12,1,0.5833333333333333,0.08333333333333333,0.09090909090909091,0.0,0.0
05037,2020,6,0,0.16666666666666663,0.0,0.0,,
05037,2021,3,0,0.33333333333333337,0.3333333333333333,0.0,,
05037,2022,3,0,0.0,0.0,0.0,,
05037,2023,1,0,1.0,0.0,1.0,,
05039,2008,3,0,0.6666666666666667,0.0,0.6666666666666666,,
05039,2009,4,1,1.0,0.0,0.25,1.0,1.0
05039,2010,1,0,0.0,0.0,0.0,,
05039,2011,2,1,1.0,0.0,0.0,1.0,0.0
05039,2012,2,1,0.0,0.0,0.0,0.0,0.0
05039,2013,1,1,0.0,0.0,0.0,0.0,0.0
05039,2014,3,0,0.33333333333333337,0.0,0.0,,
05039,2015,5,2,0.8,0.0,0.2,0.5,0.0
05039,2017,1,0,0.0,0.0,0.0,,
05039,2020,2,1,1.0,0.0,0.0,1.0,0.0
05039,2021,5,1,0.6,0.0,0.2,0.0,0.0
05039,2022,3,1,0.6666666666666667,0.3333333333333333,0.0,1.0,
05039,2023,4,1,1.0,0.0,0.25,1.0,1.0
05041,2008,1,0,1.0,1.0,,,
05041,2009,4,0,0.75,0.25,0.6666666666666666,,
05041,2010,8,0,0.4285714285714286,0.0,0.2857142857142857,,
05041,2011,4,0,0.75,0.0,0.25,,
05041,2012,6,0,0.33333333333333337,0.0,0.0,,
05041,2013,2,1,0.5,0.0,0.0,1.0,0.0
05041,2014,3,0,1.0,0.3333333333333333,0.0,,
05041,2015,4,1,0.25,0.25,0.0,0.0,0.0
05041,2016,4,2,0.0,0.0,0.0,0.0,0.0
05041,2017,1,1,0.0,0.0,0.0,0.0,0.0
05041,2018,3,1,0.6666666666666667,0.0,0.0,1.0,0.0
05041,2019,3,1,0.33333333333333337,0.0,0.3333333333333333,0.0,0.0
05041,2020,3,0,0.33333333333333337,0.3333333333333333,0.0,,
05041,2021,2,0,1.0,0.5,0.0,,
05041,2023,2,0,0.5,0.5,0.0,,
05043,2008,9,1,0.33333333333333337,0.0,0.1111111111111111,1.0,1.0
05043,2009,7,1,0.2857142857142857,0.0,0.0,0.0,0.0
05043,2010,3,1,0.33333333333333337,0.3333333333333333,0.0,0.0,0.0
05043,2011,5,0,0.6,0.2,0.25,,
05043,2012,9,0,0.75,0.125,0.7142857142857143,,
05043,2013,5,0,0.0,0.0,0.0,,
